Lu_tumor_angiogenesis_up,Lu_tumor_endothelial_up,Lu_tumor_vasculature_dn,Lu_tumor_vasculature_up
VCAN,POSTN,CELF2,POSTN
JAG1,FZD10,PWWP3B,FZD10
E2F3,CHN1,ARX,CHN1
TYMP,VCAN,ABI3BP,VCAN
EDN1,MXRA5,PLCXD3,CMTM8
EZH2,PAMR1,MAOB,FOXF2
FGFR1,EGFL6,OGN,FJX1
HEY1,TNFRSF21,PLN,MXRA5
FYN,HSPA6,PRKAR2B,PAMR1
ITGAV,LCP2,SELE,EGFL6
JAG2,MMP9,HS6ST2,TNFRSF21
MMP9,COL5A3,ITM2A,HSPA6
NOTCH1,PMAIP1,GREB1,LCP2
PDGFA,ADAP2,,MMP9
PTK2,PLXDC1,,MUC1
SPP1,RPS11,,COL5A3
STC1,STC1,,PMAIP1
TNFAIP6,TNFAIP6,,ADAP2
VAV2,TWIST1,,PLXDC1
VEGFA,WDR77,,RPS11
CXCR4,ADAM12,,SPP1
FGF18,HOPX,,STC1
CCND2,,,TNFAIP6
CCNE1,,,TWIST1
CD44,,,WDR77
,,,ADAM12
,,,HOPX
