PRC1_BMI_UP.V1_DN,PRC2_EED_DN.V1_DN,PRC2_EZH2_UP.V1_DN,PRC2_SUZ12_UP.V1_DN,PRC2_EED_DN.V1_UP,PRC2_EZH2_UP.V1_UP,PRC2_SUZ12_UP.V1_UP,PRC1_BMI_UP.V1_UP
BBC3,QTRT1,INHBB,SUZ12,SERPINB2,SLC6A15,KIAA0319L,PMEPA1
PADI1,FZD8,DSCC1,LMOD1,H2BC4,NTSR1,CDADC1,DNAJC12
RDH5,BBC3,NGF,CIB1,DCP2,CCDC68,GGT5,MTMR8
CNGB3,PLAAT3,ZNF446,NDUFC1,H2AC6,RGCC,DNAJC12,OSGIN1
CRYBG2,PFKFB4,LIN7A,DCSTAMP,ANKRD46,PMEPA1,TOM1L2,RIPK4
CHM,HP1BP3,XRCC3,GLRA2,H2BC21,ANGPTL4,RPL3L,KIAA0319L
SOAT2,HELLS,PNOC,STEEP1,PMEPA1,GPR37,SCTR,CD5L
FNDC4,SLC2A6,APLP1,ARRB2,ANGPTL4,ASPN,KRT81,SLPI
BMI1,BTBD2,ATXN8OS,SOAT2,ZNF226,ANKRD46,PPIEL,CDADC1
GJC2,NDRG4,CXCL12,SLC4A8,ARL4C,IL15RA,FOLR3,STUM
BARX1,CORO1A,PEAK1,TRAC,ATXN1,NUP58,ACTA1,MYL3
ADAMTS7,FBXO17,CACNA2D2,ANK1,MAP3K7CL,ARL4C,SLPI,CCNT1
DNMT3L,ABCB8,MIS18BP1,PAX1,TMEM187,PKIA,NGB,CACNA2D3
ONECUT2,CSPG4,THBS2,HOXA10,AKR1B10,COL13A1,SLC15A3,XPNPEP2
FABP2,NYNRIN,CORO1A,PTGDS,NUP58,TSPAN13,C1orf21,CLCA1
PAGE4,WFDC1,OXTR,SLC16A10,SLC6A15,KIAA0319L,ERMAP,PRND
LY6G6C,TNFRSF10D,MPIG6B,BCL2L14,H1-2,DNAJC12,CNPY4,PELI1
APOBEC1,GSDMD,PRIM1,BBC3,GALNT3,IL6R,VILL,IRF8
PTPRO,AMDHD2,HP1BP3,HLA-DQA1,PLSCR4,ITGA2,SETBP1,HSPB7
ITGA7,PACSIN3,MCM2,KBTBD11,PKD2L1,KLF4,PMEPA1,BHMT2
HOXA10,SCD,RAD54L,CBFA2T3,TTTY14,C3orf52,MTMR10,SERPINA3
DDX25,SYMPK,SCN3A,CRYBG2,MAPK8IP3,IL1RL1,MCTP1,GMIP
SDK2,JUP,HAUS5,HYAL1,GDF5,YOD1,CACNA2D3,BIRC3
HYAL1,TMEM59L,NPR3,TCAP,ATF3,CLEC2B,GRIN2C,ANKRD2
SLC66A3,MICAL1,LRP12,SLC35D1,SCG5,KCTD12,ALX4,CLDN16
AP1G2,CEP131,ATP4B,TSPAN12,OBSCN,FLVCR2,ANKRD46,AGAP2
CLSPN,PLK1,MYBL2,PNPLA3,GPR37,ALDH1A3,LIME1,EGR2
GABARAPL3,PCDHGA3,IL17RB,SLC6A6,LY96,HBEGF,FGF9,GUCY1A1
OPCML,HS6ST1,TRPM4,ATG2A,HDAC9,ADGRG1,COL13A1,RGS6
SLC16A10,SV2A,KRT81,HOXB1,PCSK1N,EYA3,REST,AZU1
PDGFB,CDCA8,SYN1,CLEC10A,H2BS1,CNIH3,PCBP3,NR0B2
SLC27A3,CASKIN2,LRRC32,WFDC1,SLC12A8,GPM6B,DCP2,LUZP4
CACNA2D2,KIF4A,MST1R,AP1M2,FPR3,TRAPPC14,SLC13A3,GAD2
GAS8-AS1,RAD54L,EZH2,MED20,PLAG1,SLC14A1,SPTB,AOC4P
TPSD1,USP20,HOXA10,FRMD8,ZBTB20,VWA5A,ADIRF,COL10A1
SLC25A23,ERCC2,TBC1D2,HOXD11,MCTP1,OTUB2,PCSK1N,PCDHB12
RNF2,ODF2,VPS37B,APCS,C2CD2,TMEM35A,OPA3,SLCO4A1
CTAG2,ITPKB,THOP1,PYCR3,DNAJC12,SERPINB2,OR7E47P,EYA3
H2BC10,RAPGEF1,PITX1,PHOX2B,SLC35D2,NR0B2,BFSP1,AMMECR1
LRRC36,MCM2,NFE2,TINAGL1,OSTM1,AMMECR1,ARL4C,CYP2B6
FGA,MFHAS1,KCNS1,LINC01558,CCK,RGS17,GMIP,SH2D2A
INKA2,SIPA1,EXOSC8,FGA,AATK,AATK,HBEGF,ERMAP
CYP27A1,CDC45,ZNF219,FXYD1,ERMAP,ESM1,LYPD1,ANKRD46
SHANK1,EED,HOXD11,ADRB3,RSRP1,GFPT2,KRT15,AATK
HOXD11,MISP,CD320,GAS8-AS1,KLHL28,SETBP1,SPIB,PSG7
EPHX2,DDX31,SLC7A2,EPPK1,ANXA10,MALL,SEMA3E,USP46
GALK1,ARRB2,ENSG00000216775,CLDN14,H2BC8,DKK2,SMPD2,COLEC11
RBPJL,SEMA3B,SKP2,PGAP1,MADCAM1,TSPAN7,ACTL8,KRI1
PACSIN3,TNS4,TPD52L1,AGO2,SMR3A,PLCB1,SRPK3,CXCL10
SERPINB3,FASN,HELLS,PKP1,NMT2,RASL12,CCNT1,ARHGEF38
ATP2A3,KCNS1,KLHL11,CCNE1,BTBD3,PCBP3,CLEC4E,MYT1
CRISP1,ACY1,SLC8A1,POLA2,DEPP1,DUSP3,MYL3,NXF2
MLLT1,AP1G2,HMMR,LMNB2,STIP1,PAMR1,DACH1,IDO1
QPRT,LIN7A,CHM,OR6A2,EVI5,CXCL8,RBM4,FGF12
CYP2C19,SLC35C2,LMOD1,RPS6KA2,SPON1,CD70,PLEKHA5,PINLYP
FKBP5,RNF19A,NR6A1,BPNT1,MYH1,SLPI,MTRF1,TLE2
PCOTH,TOP3B,TOX,STAU2,HINFP,ETV1,CCNK,LIME1
FBXO17,DUSP7,GNB1L,NPY2R,DUSP8,BPGM,ZNF76,CXCL8
OXNAD1,ANKZF1,LPGAT1,TACR1,CDADC1,NPAS2,EDN1,ATP1B2
EVPL,TAF1C,KIF15,IL23A,BMP2K,KLF11,CAB39L,CCL18
PNPLA3,C1orf112,CGA,ENTR1,FUCA1,MCTP1,ACE,GNG3
MPPED1,GNAI2,MRPS18B,TBXT,ADAM17,L1CAM,FCHO1,MADCAM1
KCNF1,XRCC3,FOSL2,GP9,DMD,PCDH9,ERAP2,MCTP1
HAPLN2,ATP13A2,UTF1,TNNT2,PPM1H,CORO2B,PRSS50,DCP2
ARSD,PRICKLE3,PAN2,MYH13,HOXC8,MTHFD2L,WDR25,NEUROD6
TBXAS1,CHAF1B,DEPDC5,RPL37A,NR0B2,CFAP69,COCH,OPA3
L2HGDH,VAC14,SPAG11A,DLGAP1,PTPN7,AFP,SLCO4A1,GATA1
DPY19L4,PLXNB3,FUT7,CD247,MTHFD2L,F2RL1,KRI1,CDH22
APOBEC3F,TSC2,LMNB1,ALDH3A1,GADD45G,MAN2A1,CBX7,NIN
ECPAS,PACS1,DNMT3L,PF4,PDGFA,SEMA3A,ACAP1,DKK2
CORO1A,TEDC2,TNFSF11,ATG16L1,LUZP4,ACTL8,IL1RL2,PLEK2
SERPINB10,POLD1,GJC2,ARSD,ASCL3,ZNF215,USP46,SPON1
LY6G6E,RECQL4,ZNF574,NPFFR1,HOXA2,OPN3,CH25H,FOXP1
GNA15,PEAK1,TFAM,HOXC5,CXCL10,EDN1,DOK2,RBM4
